DATE_TIME,USERS,CPU,MEM,DISK,PROCESS
06/27/2020 09:15,18,6.01,0.0722155,204092856,1645
06/27/2020 09:30,19,6.01,0.0724167,204094826,1652
06/27/2020 09:45,19,6.01,0.0724649,204093907,1653
06/27/2020 10:00,19,6.01,0.0724733,204094254,1652
06/27/2020 10:15,22,6.01,0.0726265,204094923,1665
06/27/2020 10:30,24,6.01,0.0741972,204095655,1685
06/27/2020 10:45,24,6.01,0.0741534,204095868,1680
06/27/2020 11:00,23,6.01,0.0740751,204096839,1676
06/27/2020 11:15,26,6.01,0.0744647,204096736,1691
06/27/2020 11:30,28,6.01,0.0743742,204097847,1697
06/27/2020 11:45,28,6.01,0.0743002,204099224,1700
06/27/2020 12:00,31,6.01,0.0743315,204078262,1699
06/27/2020 12:15,30,6.01,0.0743751,204077737,1703
06/27/2020 12:30,31,6.01,0.0744883,204079895,1707
06/27/2020 12:45,29,6.01,0.0743299,204080371,1701
06/27/2020 13:00,29,6.01,0.0744801,204082124,1709
06/27/2020 13:15,29,6.01,0.0743646,204083491,1699
06/27/2020 13:30,30,6.01,0.0746888,204084952,1696
06/27/2020 13:45,29,6.01,0.0744454,204086515,1696
06/27/2020 14:00,29,6.00,0.0744656,204089930,1694
06/27/2020 14:15,29,6.00,0.0732903,204089596,1694
06/27/2020 14:30,29,6.00,0.0733163,204091159,1690
06/27/2020 14:45,33,6.00,0.0736563,204092682,1711
06/27/2020 15:00,33,6.00,0.0737126,204095704,1720
06/27/2020 15:15,33,6.00,0.0736289,204137812,1721
06/27/2020 15:30,32,6.00,0.0744889,204142653,1715
06/27/2020 15:45,33,6.00,0.0746399,204145215,1726
06/27/2020 16:00,35,6.00,0.0746947,204153232,1724
06/27/2020 16:15,37,6.00,0.0747559,204155309,1733
06/27/2020 16:30,38,6.00,0.0747975,204156873,1737
06/27/2020 16:45,37,6.00,0.0747953,204158477,1745
06/27/2020 17:00,35,6.00,0.074796,204159833,1725
06/27/2020 17:15,35,6.00,0.0747391,204156387,1721
06/27/2020 17:30,36,6.00,0.0747567,204159204,1729
06/27/2020 17:45,34,6.00,0.0746937,204159701,1721
06/27/2020 18:00,33,6.00,0.0747459,204162700,1726
06/27/2020 18:15,34,6.00,0.0747747,204161757,1724
06/27/2020 18:30,31,5.99,0.0745698,204168090,1714
06/27/2020 18:45,33,5.99,0.0747875,204170820,1729
06/27/2020 19:00,33,5.99,0.0748321,204175562,1734
06/27/2020 19:15,34,5.99,0.0762984,204175268,1744
06/27/2020 19:30,36,5.99,0.0780189,204176997,1754
06/27/2020 19:45,33,5.99,0.0779034,204179925,1744
06/27/2020 20:00,33,5.99,0.0804363,204184637,1767
06/27/2020 20:15,34,5.99,0.0806498,204189322,1769
06/27/2020 20:30,37,5.99,0.0808254,204193917,1776
06/27/2020 20:45,36,5.99,0.0805675,204194034,1776
06/27/2020 21:00,33,5.99,0.0805721,204196227,1767
06/27/2020 21:15,34,5.99,0.080532,204198289,1762
06/27/2020 21:30,31,5.99,0.0804163,204200483,1748
06/27/2020 21:45,33,5.99,0.0805779,204213166,1752
06/27/2020 22:00,38,5.99,0.0808833,204217799,1764
06/27/2020 22:15,34,5.99,0.0806854,204221146,1751
06/27/2020 22:30,33,5.99,0.080796,204156538,1749
06/27/2020 22:45,30,5.99,0.0806887,204158530,1744
06/27/2020 23:00,30,5.99,0.0809439,204162162,1739
06/27/2020 23:15,30,5.98,0.0804839,204165255,1742
06/27/2020 23:30,26,5.98,0.0804706,204167420,1730
06/27/2020 23:45,26,5.98,0.0806403,204168697,1725
06/28/2020 00:00,24,5.98,0.0802697,204169294,1714
06/28/2020 00:15,23,5.98,0.0802311,204177910,1710
06/28/2020 00:30,22,5.98,0.0801741,204168023,1705
06/28/2020 00:45,21,5.98,0.0801445,204138474,1700
06/28/2020 01:00,20,5.98,0.0801215,204121895,1700
06/28/2020 01:15,21,5.98,0.0801979,204112924,1706
06/28/2020 01:30,21,5.98,0.0801579,204135794,1700
06/28/2020 01:45,21,5.98,0.0799996,204132848,1695
06/28/2020 02:00,21,5.98,0.0800523,204134589,1695
06/28/2020 02:15,21,5.98,0.0800481,204145512,1694
06/28/2020 02:30,22,5.98,0.080111,204183762,1698
06/28/2020 02:45,22,5.98,0.0801073,204185168,1698
06/28/2020 03:00,22,5.98,0.0801302,204185883,1703
06/28/2020 03:15,21,5.98,0.0800775,204186930,1734
06/28/2020 03:30,21,5.98,0.0800518,204187192,1694
06/28/2020 03:45,21,5.98,0.0800699,204189678,1693
06/28/2020 04:00,20,5.97,0.0799543,204190076,1686
06/28/2020 04:15,21,5.97,0.0799867,204191322,1692
06/28/2020 04:30,21,5.97,0.0799989,204192108,1727
06/28/2020 04:45,21,5.97,0.0799911,204193041,1690
06/28/2020 05:00,21,5.97,0.0800482,204195364,1695
06/28/2020 05:15,21,5.97,0.0800069,204194626,1692
06/28/2020 05:30,21,5.97,0.0800453,204196377,1694
06/28/2020 05:45,22,5.97,0.08009,204196106,1698
06/28/2020 06:00,22,5.97,0.0801058,204196619,1698
06/28/2020 06:15,22,5.97,0.0793081,204198570,1694
06/28/2020 06:30,22,5.97,0.0793614,204183224,1700
06/28/2020 06:45,22,5.97,0.0793269,204186597,1697
06/28/2020 07:00,23,5.97,0.0793966,204187470,1696
06/28/2020 07:15,23,5.97,0.0793641,204188632,1695
06/28/2020 07:30,23,5.97,0.0793937,204188697,1698
06/28/2020 07:45,23,5.97,0.0794068,204189132,1696
06/28/2020 08:00,23,5.97,0.0794194,204189484,1698
06/28/2020 08:15,23,5.97,0.0795526,204190386,1707
06/28/2020 08:30,24,5.96,0.0795342,204190936,1713
06/28/2020 08:45,25,5.96,0.0796925,204191108,1714
06/28/2020 09:00,26,5.96,0.0798408,204191320,1728
06/28/2020 09:15,27,5.96,0.0799916,204192414,1729
06/28/2020 09:30,28,5.96,0.0799506,204180213,1731
06/28/2020 09:45,28,5.96,0.0805304,204181061,1736
06/28/2020 10:00,28,5.96,0.0802023,204181706,1732
06/28/2020 10:15,28,5.96,0.0808895,204182896,1734
06/28/2020 10:30,29,5.96,0.0811095,204183691,1745
06/28/2020 10:45,29,5.96,0.0783944,204184221,1731
06/28/2020 11:00,29,5.96,0.0785132,204185762,1737
06/28/2020 11:15,30,5.96,0.079242,204187481,1742
06/28/2020 11:30,29,5.96,0.0791895,204190659,1735
06/28/2020 11:45,28,5.96,0.079074,204189935,1733
06/28/2020 12:00,26,5.96,0.0795407,204191279,1734
06/28/2020 12:15,28,5.96,0.0796894,204192943,1735
06/28/2020 12:30,25,5.96,0.0791877,204195351,1741
06/28/2020 12:45,24,5.96,0.0791135,204194944,1711
06/28/2020 13:00,25,5.96,0.0793781,204195655,1717
06/28/2020 13:15,25,5.95,0.0798135,204198620,1721
06/28/2020 13:30,27,5.95,0.0793969,204199576,1727
06/28/2020 13:45,28,5.95,0.0789633,204200379,1734
06/28/2020 14:00,29,5.95,0.0788918,204200840,1758
06/28/2020 14:15,30,5.95,0.0789901,204201969,1755
06/28/2020 14:30,29,5.95,0.0790174,204201106,1748
06/28/2020 14:45,28,5.95,0.078989,204201874,1748
06/28/2020 15:00,31,5.95,0.0793719,204203097,1754
06/28/2020 15:15,31,5.95,0.0793486,204204558,1763
06/28/2020 15:30,33,5.95,0.0794656,204204902,1767
06/28/2020 15:45,33,5.95,0.0827884,204205399,1794
06/28/2020 16:00,33,5.95,0.0794689,204207190,1763
06/28/2020 16:15,32,5.95,0.0795345,204208651,1760
06/28/2020 16:30,34,5.95,0.0794922,204207768,1773
06/28/2020 16:45,32,5.95,0.0798741,204208319,1765
06/28/2020 17:00,29,5.95,0.0812165,204209127,1770
06/28/2020 17:15,29,5.95,0.082429,204207259,1773
06/28/2020 17:30,28,5.95,0.0817073,204209211,1771
06/28/2020 17:45,27,5.95,0.0816789,204209327,1772
06/28/2020 18:00,26,5.95,0.082021,204211480,1748
06/28/2020 18:15,26,5.94,0.0823188,204211782,1761
06/28/2020 18:30,25,5.94,0.082272,204212971,1741
06/28/2020 18:45,26,5.94,0.0814175,204212993,1750
06/28/2020 19:00,27,5.94,0.0809268,204215060,1745
